userName,score,at,content
Pengguna Google,5,2024-10-07 09:17:41,Bisa membantu bila di butuhkan mengurus kependudukan..
Pengguna Google,1,2024-10-07 09:09:24,Sedikit ribet
Pengguna Google,4,2024-10-07 08:28:11,Sy kasih 4 bintang. Nanti aplikasi udah berguna baru tambahin lagi 🌟
Pengguna Google,1,2024-10-07 08:10:53,"mau mengubah alamat d ktp tdk bs di aplikasi ini.harus ke kntor camat,lah apa gunanya aplikasi klo harus ke kantor camat lgi. mending gak usah pake aplikasi,klo nambah ribet."
Pengguna Google,5,2024-10-07 07:53:28,Sangat bagus Dan membantu
Pengguna Google,5,2024-10-07 07:53:16,sangat bagus dan membantu
Pengguna Google,5,2024-10-07 07:51:45,sangat bagus dan membantu
Pengguna Google,1,2024-10-07 07:50:34,Bikin ktp susah harus pake akun google pertama yg sudah lupa tidak ingat.. tolong untuk dipermudah pak..pengajuan ktp online masa gara2 ktp ilang ga makan gak kerja skrg djpersuli harus pake akun google pertama yg sudah tidak ingat
Pengguna Google,1,2024-10-07 07:24:44,Ribet kurang efektif
Pengguna Google,5,2024-10-07 06:33:22,"Kalau mau serba online , minimal birokrasi sudah jalan dengan baik. Untuk apa online kalau masih datang ke dukcapil hanya untuk minta barcode ? Ini kurang efisien . Kalau bisa online , seharusnya soal barcode dari dukcapil bisa di download secara online dan scan barcode harus ada pilihan pilih barcode dari penyimpanan gallery foto untuk di tampilkan dan bisa di scan secara mandiri. Tolong di tingkatkan lagi soal birokrasi dan SDM pemerintah yg harus kompeten dibidangnya. Terimakasih"
Pengguna Google,1,2024-10-07 06:08:39,"Antusiasme masyarakat rendah, kt nya digital..tapi waktu aktivasi hrs datang ke dukcapil/kecamatan buat scan QR. Sama aja itu harus sediain waktu, tenaga dan biaya lagi. Di tambah aplikasi yang msh byk bug, heran sama apk buatan pemerintah..anggaran gede, tapi aplikasi nya ky dibuat asal jadi aja."
Pengguna Google,1,2024-10-07 06:03:29,"Tujuan aplikasi adalah digitalisasi untuk mempermudah pelayanan, lah ini kog harus datang disdukcapil juga jadi gak efektif dan efisien dong"
Pengguna Google,1,2024-10-07 05:56:57,"Ga ada perkembangan 2 minggu menunggu ga ada proses sama sekali, pelayanan macam apa ini, menunggu ujung ujungnya pengajuan ga di proses sama sekali."
Pengguna Google,3,2024-10-07 04:58:02,"smartphone 4G dan pake Wifi di rumah, tapi untuk log in aja masih lama. tingkatin dong kualitas aplikasinya."
Pengguna Google,5,2024-10-07 03:39:38,Sangat bagus dan membantu
Pengguna Google,1,2024-10-07 03:17:31,Kocaak
Pengguna Google,5,2024-10-07 02:59:44,Sangat bgus dan membantu
Pengguna Google,5,2024-10-07 02:33:00,"Dilayani dengan cepat, penjelasan mudah dipahami"
Pengguna Google,1,2024-10-07 00:23:50,"Kasus pin yang dimasukkan salah, tetapi g ada opsi untuk perbaikan, seperti opsi lupa pin atau opsi masuk dengan metode lain. Apa dikorupsi juga ya menu lainnya? 😅"
Akun Inu,5,2024-10-06 19:04:59,Tida. Tampil
Pengguna Google,5,2024-10-06 17:32:04,Sangat membutuhkan dlm pendataan
Reisya Razeta,5,2024-10-06 16:52:25,Ok
Pengguna Google,1,2024-10-06 15:27:53,Kesalahan koneksi terus
Pengguna Google,5,2024-10-06 14:36:44,Semoga sukses selalu jayalah indonesiaku
Pengguna Google,1,2024-10-06 14:02:13,Ribet g bs online sama aj harus ke kantor dukcapil
Pengguna Google,1,2024-10-06 12:47:51,Begitu sulitkah pengguna mengakses akun pribadi jika lupa pasword??? Apk tidak ada pilihan lupa pasword jadi kalau pemilik akun lupa pasword apakah harus ke DisDuk???
Amin nuryanto,1,2024-10-06 11:21:33,Siap
Pengguna Google,5,2024-10-06 09:32:27,Oke
Pengguna Google,1,2024-10-06 06:21:17,"Aplikasi bodohhh Nge screen shot gak bisaa Harusnya bisa dong screen shot, karena kita juga pake pin kita, buat log ini juga kitaa Tolong gitu yah permudah semua fiture"
Pengguna Google,5,2024-10-06 06:12:13,Good
Pengguna Google,1,2024-10-06 05:07:46,Pengennya praktis secara online malah harus ke tempat lokasi untuk barcode kan harus nya di bikin sistem dikirim lewat email atau no hp jadi ya nggak bisa daftar
Pengguna Google,1,2024-10-06 02:17:00,Tetap aja harus datang ke kantor dukcapil buat scan barcode
Pengguna Google,5,2024-10-06 01:11:01,Baik
Rayya kitty,5,2024-10-06 00:43:49,Ok
Pengguna Google,2,2024-10-05 14:06:51,"Aplikasi apaan ini,, Saya buat permohonan akte kelahiran baru untuk anak saya, dari tgl 19/09/2024 sampai sekarang 05/10/2024 statusnya masih PERMOHONAN. Kacauuuu..."
Pengguna Google,5,2024-10-05 10:17:09,Cukup membantu👍👍👍
Pengguna Google,5,2024-10-05 09:37:04,Luar biasa...
Pengguna Google,4,2024-10-05 06:38:40,"Saya sudah download app identitas kependudukan digital, saat masukkan PIN yang dikirim via email kenapa dibilang kode aktivasinya salah....,ada yang bisa bantu, TKS 🙏"
Pengguna Google,1,2024-10-05 04:00:28,"Sehabis foto dimintain barcode, seinget saya pernah buat ektp, saya coba scan tidak bisa"
Pengguna Google,1,2024-10-05 03:31:25,Aplikasi apaan ini. Cuma bisa lihat ktp doang. Data lainnya gak ada. Gini kok mau diwajibkan. Gak malu apa...
Pengguna Google,5,2024-10-05 02:35:35,Bagus aplikasinya
Pengguna Google,4,2024-10-05 01:09:02,Lebih memudahkan dlm melihat no KK dan nik
Pengguna Google,5,2024-10-04 16:40:41,Oke..
Thiar 02,5,2024-10-04 14:29:35,sagat menbantu
Pengguna Google,1,2024-10-04 10:16:44,"Aplikasi error terus, ngejer rating dan download aja, di capil suruh install. Guna ga ada, error, tidak terhubung ke server pusat, dll. Mau di screenshot ga bisa buat bukti"
Pengguna Google,4,2024-10-04 09:48:26,"Setelah permohonan cetak ulang dokumen sudah di setujui,lalu caranya mau download dan print gimana ya"
Pengguna Google,1,2024-10-04 09:35:18,"Aplikasi buang2 anggaran doang, mau masuk susah, fitur lupa pin atau masuk lewat NIK gak ada👎👎👎👎👎"
Pengguna Google,1,2024-10-04 06:55:23,"Saya mau masuk pin nya salah terus, padahal sudah betul. Sampe saya hapus data semua login minta pin salah teruss, bingung jadinya. Tolong dong diperbaiki"
Pengguna Google,5,2024-10-04 06:38:02,Mantab
Pengguna Google,5,2024-10-04 06:13:51,Mantap
Pengguna Google,1,2024-10-04 06:04:49,aplikasi gak guna
Pengguna Google,1,2024-10-04 05:26:11,"Kalo ada yg ribet & rumit ngapain pilih yg mudah itulah yg ada di benak para orang""yg berjas berdasi"
Pengguna Google,1,2024-10-04 04:55:10,"Aplikasi payah,,gak bisa di gunakan 🥵"
Pengguna Google,1,2024-10-04 03:42:32,"Pelayanan buruk dipersulit ujung ujungnya mnta duit, kode QR di kantor error, banyak alasan seakan"" biar lama slesai urusan, cuma mau buat akta kematian aja dipersulit"
Pengguna Google,1,2024-10-04 03:25:35,Kocakkkka
Ayu Saja,5,2024-10-04 02:19:53,Bgus
Pengguna Google,5,2024-10-04 00:50:09,Oke
Pengguna Google,3,2024-10-03 20:58:56,"Bintang 3 aja deh. Niat sudah bagus, tapi sama sekali tidak memudahkan. Mau daftr aja masih disuruh ke capil buat minta barcode. Hadeeeeh.."
앙가라,5,2024-10-03 20:02:18,좋아요
Pengguna Google,5,2024-10-03 12:48:14,Bagus Mempermudah
Pengguna Google,1,2024-10-03 11:59:22,Buat aplikasi agar lebih efisien tetap aja harus scan dulu ke dukcapil 😁🤣🤣
Pengguna Google,1,2024-10-03 11:24:32,"Berkas tidak dapat di buka, keterangan berkas sedang di integrasikan🤦"
Pengguna Google,1,2024-10-03 10:09:56,Apk rusak yang buat tidak profesional
Pengguna Google,5,2024-10-03 07:47:25,istimewa
Pengguna Google,1,2024-10-03 05:28:58,"Ujungnya ke dukcapil juga itu namanya belum digital, digital itu cukup akses internet. anda punya aplikasi anda yang punya kuasa akses sistemnya kok si pengguna aplikasi malah ke capil lagi."
Pengguna Google,1,2024-10-03 04:58:56,Kocak masa harus ke dukcapil cuman buat minta kode barkot nyusahin amat dah
Pengguna Google,5,2024-10-03 04:48:56,Woww😱😱 Bermanfaat🤩🤩🤩
Pengguna Google,1,2024-10-03 04:48:10,Tidak bisa di buka memuat trs
Pengguna Google,3,2024-10-03 03:49:36,"Saya kehilangan dompet dan isinya,Saya ingin mengurus kartu ATM BRI baru karna hilang,menggunakan KTP DIGITAL tapi di tolak oleh scurity BaNk BRI,dengan alasan harus membawa resi/ salinan E KTP, padahal sewaktu buka tabungan baru bisa menggunakan IKD,itupun pihak bank yg menyarankan menggunakan KTP Digital,apakah scurity BRI yg eror apa bagaimana??"
Pengguna Google,1,2024-10-03 03:30:35,"Wong uda ada KTP kok ya sek ada ikd, besok apa lagi.. aplikasi gabisa dibuka mending gausah pake aplikasi, bukan nya bikin aman malah ngeribetin warga, iya yang punya hp kalo yang ga punya piye, wes hapus aja aplikasi ini !"
Pengguna Google,1,2024-10-03 03:16:05,negara mempersulit rakyatnya. mau onlen kan ktp saja susah. jarak capil yang jauh di era digital seharusnya semuanya bisa dari rumah
Pengguna Google,1,2024-10-03 03:12:52,Jelek bos ah kaga ngaruh KTP digital
Pengguna Google,5,2024-10-03 02:47:20,Aplikasinya sangat baik dan membatu
Pengguna Google,3,2024-10-03 01:44:01,cara masukan pin ikd tuh gimana sih? giliran di masukin pin tidak bisa login
Pengguna Google,1,2024-10-02 23:38:20,"KTP Saya hilanga terpaksa Saya bikin IKD dikarenakan butuh untuk keperluan ambil BPKB kendaraan saya yg di bank, ternyata pihak bank gak bisa menerima pake IKD ini sudah di kasih foto copy KTP yg hilang tetap tidak bisa di ambil tuh BPKB kendaraan Saya padahal Saya hak milik kendaraan tersebut dan sudah lunas nama bank nya ( MANDIRI UTAMA FINANCE), terus terang Saya kecewa😡😡"
Pengguna Google,1,2024-10-02 15:17:45,"Meskipun katanya digital, ktp fisik dan foto copy masih menjadi persyaratan utama dalam layanan administrasi pemerintah, peluncuran IKD hanya kedok nasional, sangat ironi sekali, aplikasi pemerintah yang anggarannya mahal,cuma jadi pemberat jalannya handphone semata."
Pengguna Google,1,2024-10-02 13:08:25,"Saya download apk ini agar memudahkan saya,agar saya tidak perlu jauh jauh ke kantor kabupaten tapi ternyata butuh barcode dari petugasnya disdukcapilnya"
Pengguna Google,1,2024-10-02 12:23:52,aplikasi mempersulit bukan mempermudah👎🏻
Pengguna Google,1,2024-10-02 12:10:56,sama aja bohong masa tetap ke kelurahan atau dukcapil...kalau bikin digital jangan tanggung
Pengguna Google,1,2024-10-02 11:25:07,"Gk niat banget bikin aplikasi, anggaran cuma buat aplikasi ampas gini mau daftar reenter email mulu, pdhl udh bener 👎👎👎👎👎"
Pengguna Google,1,2024-10-02 11:19:43,Aplikasi sampah apalagi ini . Wkkwk
Pengguna Google,1,2024-10-02 11:04:21,"tolong diperbaiki lgi dong, msa setiap mau login gagal trs padahal koneksi nya baik"" aja gda yg bermasalah, waktu baru download bsa di buka msa pas mau di buka lgi gbsa tolong diperbaiki secepatnya🙏"
Pengguna Google,1,2024-10-02 08:44:22,Pertama tama bisa lancar di buka kesini kesini susah di buka eror aplikasi nya
Pengguna Google,1,2024-10-02 07:47:37,Qris aja bikin repot entah kemana dicari
Pengguna Google,2,2024-10-02 07:44:20,Mau masuk untk data kependudukan online tapi malah minta scan qr dari dukcapil. Qr kode yg mana y.Kalau harus minta kode ke dukcapil langsung ngapain online.Malah mempersulit namanya.Padahal ada email kenapa gak verivikasi kirom ke email aja. Zaman udh online juga. Suka banget ribet2. Lagian kenapa juga setiap maudaftar sesuatu ktp suka gk muncul fotonya.Kalau emg mau d buat serba online.Tingkat kan lgi pekerja kependudukan untk memunculkan semua foto di setiap ktp/setiap org bsa daftar sndiri
Pengguna Google,1,2024-10-02 05:40:20,Jadul
Pengguna Google,1,2024-10-02 05:37:38,Tidak membantu
Pengguna Google,1,2024-10-02 03:40:46,"Mau cetak KK gk ada layanannya, hak akses sangat terbatas cuma bisa lihat2 dokumen yang sudah di scan dan itu terbatas sekali."
Pengguna Google,3,2024-10-02 02:56:12,"Kok aplikasinya gamau di buka sih tiap masuk selalu ""memuat"" terus padahal koneksi stabil, tolong dong diperbaiki"
Pengguna Google,5,2024-10-02 01:53:31,sangat bagus
Pengguna Google,1,2024-10-02 00:22:01,"Terjadi kesalahan koneksi, tolong diperbaiki tidak bisa log in."
Pengguna Google,3,2024-10-02 00:18:02,"bikin meriang, kesalahan koneksi terussss....🤦"
Pengguna Google,1,2024-10-01 23:57:33,"Selalu tulisannya kesalahan jarimgan koneksi,gak bs di buka padahal sy memakai jaringan sinyal yg kuat Bener2 aplikasi merepotkan rakyat"
Pengguna Google,1,2024-10-01 23:55:38,"Tolong min ini pas sudah di instal mau masuk tiba terjadi kesalahan koneksi, tolong lah diperbaiki"
Pengguna Google,3,2024-10-01 23:55:07,Kok gak bisa masuk ya? Gagal terus
Pengguna Google,1,2024-10-01 23:54:42,Kesalahan koneksi melulu kesel..
Pengguna Google,5,2024-10-01 23:45:40,🙏🙏🙏
Pengguna Google,1,2024-10-01 23:42:50,"apk busuk, gak bisa di buka"
Pengguna Google,1,2024-10-01 23:23:08,Aplikasi kocak. Knapa tiba2 gak bisa?? Trus gmana mau cek ktp
Pengguna Google,1,2024-10-01 23:08:04,Tidak berfungsi
Pengguna Google,1,2024-10-01 23:05:50,sering kalau di buka muncul tulisan kesalahan koneksi.tolong di perbaiki lagi
Pengguna Google,5,2024-10-01 23:03:24,Trimakasih akmin saya mintak yg lebih baik lgi
Best 2000 Best 2000,5,2024-10-01 23:02:59,Error
Pengguna Google,1,2024-10-01 22:59:15,kesalahan koneksi mulu apk gajelass bukannya membantu malah bikin emosii
Pengguna Google,1,2024-10-01 22:59:09,Tidak bisa masuk
Pengguna Google,2,2024-10-01 22:38:25,Terjadi kesalahan koneksi coba lagi...aplikasi nya blm bisa memberikan kemudahan buat masyarakat
Pengguna Google,1,2024-10-01 22:30:52,"Goreng patut apk teh hayoh we ngadon coba lagi, kuota loba keneh ge"
Pengguna Google,1,2024-10-01 22:23:29,kesalahan koneksi aja terus
Pengguna Google,3,2024-10-01 22:15:54,"Ini gimana ini buka aplikasi ny, terjadi kesalahan koneksi trus pdhl sinyal sdh bagus."
Pengguna Google,3,2024-10-01 22:13:35,Saya telah memasang aplikasi ini untuk membuat fisik KTP yang hilang
Hoppus Locky,1,2024-10-01 21:41:16,Apk gajelas
Pengguna Google,1,2024-10-01 19:03:41,"Makin hancur aplikasinya, terjadi kesalahan koneksi, itu terus yang keluar"
Pengguna Google,1,2024-10-01 19:02:58,Ini dukcapil applikasi punya negara bukan?... kok gn... kok gt... kok gak jalan. Hadeh!!
Pengguna Google,4,2024-10-01 18:39:03,Hendi w. Kalahien anduska
Pengguna Google,5,2024-10-01 17:56:32,Ok
Pengguna Google,1,2024-10-01 17:40:36,"sampah, gimana Mau Mau kaga Pernah Di Update"
Pengguna Google,1,2024-10-01 17:22:35,sangat mengecewakan karna belum juga di perbaiki koneksi jaringan... padahal kuota wiffi saya full dan kuota internet ... tapi tertulis koneksi jaringn gagal tolong lah pk buk perbaiki apa bila hatua memakae aplikasi ini
Pengguna Google,1,2024-10-01 17:13:36,"Padahal awal masuk apk ini lancar lancar aja, tapi kenapa tiba log out sendiri, giliran mau login lagi malah terjadi kesalahan koneksi terus... Apk milik negara aja gak mutu, payah"
Pengguna Google,1,2024-10-01 16:49:13,"kesalahan koneksi terus , tolong lah padahal lagi urgent sangat penting"
Pengguna Google,3,2024-10-01 16:42:20,Kenapa saya tidak bisa cek . Klo ada bantuan dari pemerintah. Dan lagi gax bisa masuk kerena sinyal atau internet terputus. PD hal saya data internet nonstop sampai 30 hari
Pengguna Google,1,2024-10-01 16:23:32,Sering terjadi koneksi internet eror
Pengguna Google,5,2024-10-01 16:07:44,Aku sangat suka aplikasi ini
Pengguna Google,2,2024-10-01 15:58:09,Gak bisa dibuka terjadi kesalahan koneksi
Pengguna Google,1,2024-10-01 15:52:59,sangat buruk...eror trus bro
Iwan Kurniawan,1,2024-10-01 15:50:48,Apk Jore
Pengguna Google,1,2024-10-01 15:47:28,Baru download kesalahan koneksi.gima mau bikin KTP digital aplikasinya juga gituh.gak worit bgt.hmmm
Pengguna Google,1,2024-10-01 15:39:04,kenapa ga bisa di buka kesalahan koneksi terus
Pengguna Google,1,2024-10-01 15:37:55,Aplikasi gak jelas
Pengguna Google,1,2024-10-01 15:36:25,Ga jelas gabisa di buka karna gangguan koneksi padahal jaringan saya full 5G
Pengguna Google,1,2024-10-01 15:33:58,Jd harus gimana nih mau cetaknya?
Pengguna Google,2,2024-10-01 15:29:03,terjadi kesalahan koneksi terus
Pengguna Google,1,2024-10-01 15:20:02,Aplikasi nya tidak bisa di gunakan
Pengguna Google,1,2024-10-01 15:16:30,Bang kok saya tidak bisa login .pa's login terjadi masalah koneksi itu gimana bang
Pengguna Google,5,2024-10-01 15:13:24,Sering terjadi kesalahan gak bisa login
Pengguna Google,1,2024-10-01 15:10:48,Jelek
Pengguna Google,5,2024-10-01 15:02:08,Tdk bisa di buka aplikasi ini tolong di perbaiki.agar kami bisa membuka.
HASAN PRIADI,5,2024-10-01 14:51:43,MANTAP
Pengguna Google,1,2024-10-01 14:38:58,"aplikasinya sudah tidak terpakai lagi ya? dulu awal2 bisa dibuka skrg gabisa masuk aplikasi sama sekali, keterangannya terjadi kesalahan koneksi terus"
Pengguna Google,1,2024-10-01 14:36:31,"katanya pengganti id yg valid, udah ga bisa di apa²in (cuma read only) eee pas dibuka malah sering gagal koneksi..maaf bintang 1 dulu..tolong diperbaiki.."
Pengguna Google,1,2024-10-01 14:33:43,Sekelas pemerintah masih banyak bug🗿
Pengguna Google,5,2024-10-01 14:25:43,Sang bagus ikdnya
Pengguna Google,1,2024-10-01 14:16:11,apk nya gk bisa di guna kn percuma di ada kn
Pengguna Google,5,2024-10-01 14:15:28,Aplikasi nya sering error mohon di tingkatkan lagi dan untuk mempermudah masyarakat mohon apalkasi di tambah lagi pelayanan seperti akte kelahiran dewasa yg belum pernah buat akte Mohon syarat cuman kartu keluarga aja biar lebih mudah bagi yg dewasa yg blom punya akte kelahiran terimakasih
Pengguna Google,1,2024-10-01 14:08:30,"Tolonglah ya masa gabisa masuk ke apknya, kominfo ngapain sih"
Pengguna Google,2,2024-10-01 13:59:57,Kenapa terjadi kesalahan koneksi terus
Pengguna Google,1,2024-10-01 13:55:50,keneksi gagal terus di perbaiki dong
Pengguna Google,1,2024-10-01 13:09:54,Saya mau bikin akta kelahiran via online tp buat registrasi gagal mulu
Pengguna Google,1,2024-10-01 11:06:01,"Saya kehilang KTP saya, terus saya ke dukcapil untuk cetak ulang. Tapi di dukcapil di arahkan pakai aplikasi ini, katanya sekarang sudah ktp digital. Saat saya melamar kerja, perusahaan tempat melamar saya minta fotocopy ktp. Sedangkan ktp digital tidak dapat di fotocopy. Akhirnya saya kembali menganggur karena tidak dapat melamar kerja. Terimakasih sudah mempersulit hidup saya👍"
Pengguna Google,1,2024-10-01 10:55:44,"Aplikasi tidak guna, buang2 anggaran negara, tidak bisa cetak/download KK dan KTP"
Pengguna Google,5,2024-10-01 07:48:26,Piyeki
Pengguna Google,5,2024-10-01 07:10:52,Mantap
Pengguna Google,1,2024-10-01 06:56:12,"Lah, masih minta barcode ke petugas capil"
Pengguna Google,1,2024-10-01 05:52:50,Ktp digital sangat merepotkan tidak bisa untuk membuat rekening karena pihak bank tetap menginginkan ktp fisik.
Pengguna Google,5,2024-10-01 05:43:19,Terima kasih atas kehadiran aplikasi nya di playstore AppStore dllnya.
Pengguna Google,1,2024-10-01 05:17:11,Aplikasi yang tidak sempurna massa tidak ada koneksi terus padahal koneksi nya full sangat aneh sekali giliran ke capil disuruh download ini biar cepat kata nya hadehh
Pengguna Google,1,2024-10-01 04:58:41,burukkk seburuk buruk nya
Pengguna Google,1,2024-10-01 03:01:27,"Anggaran banyak, bikin app kek gini aja ga beres.."
Pengguna Google,1,2024-10-01 02:40:11,"Hanya bisa diakses menggunakan jaringan wifi. Kalo pake jaringan internet seluler, seperti menunggu kucing terbang."
Pengguna Google,1,2024-10-01 02:22:19,"Ini arahnya kemana sih?digitalisasi layanan online tapi saat daftar dan validasi pertama harus scan barcode ke petugas yg ada di kantor layanannya, sama aja dong, tetep ke kantor"" juga,online dari mananya ini....digitalisasi yg sangat menyusahkan 😣😩😫😤,sedih di indonesia masih kyk gini sistem nya"
Pengguna Google,5,2024-09-30 23:03:42,Goodjob
Pengguna Google,1,2024-09-30 23:02:00,Saya kira setelah dibuat apk bisa lebih praktis ternyata malah bikin emosi. Saya gabisa akses apk karena sering terjadi kesalahan koneksi. Tolong diperbaiki lagi
Adi Sumarnaputra,5,2024-09-30 22:31:13,Mantap !
Pengguna Google,1,2024-09-30 16:42:24,"Dokumen lainnya tidak muncul lagi, padahal awalnya ada!"
